age,gender,income,usage_gb,complaints,tenure_months,plan_type,churn
53.0,male,83153,54.0,0,4,Postpaid,0
22.0,male,50869,80.0,8,13,Postpaid,1
65.0,male,16329,18.0,0,10,Prepaid,0
53.0,male,35399,66.0,6,53,Postpaid,0
57.0,female,61504,50.0,4,43,Postpaid,0
53.0,male,67766,21.0,6,23,Postpaid,0
52.0,female,93186,64.0,6,32,Prepaid,0
23.0,female,18357,84.0,4,21,Prepaid,1
52.0,female,45674,82.0,4,24,Prepaid,0
67.0,male,34488,84.0,5,38,Postpaid,0
36.0,male,96409,81.0,6,12,Postpaid,1
55.0,male,24949,47.0,7,45,Prepaid,0
19.0,male,29861,5.0,4,56,Prepaid,1
39.0,male,36803,96.0,3,58,Postpaid,0
45.0,female,19507,45.0,0,11,Prepaid,0
78.0,male,67912,63.0,7,25,Postpaid,1
31.0,male,57228,3.0,2,16,Prepaid,0
35.0,male,60189,88.0,4,38,Postpaid,0
43.0,male,91652,88.0,9,20,Prepaid,1
79.0,male,48979,92.0,7,24,Postpaid,0
70.0,male,38015,18.0,3,9,Prepaid,0
20.0,female,43787,84.0,4,34,Prepaid,1
32.0,female,82014,62.0,3,32,Prepaid,0
68.0,female,57558,15.0,6,33,Prepaid,1
21.0,female,25227,57.0,1,21,Prepaid,0
71.0,female,72082,48.0,9,45,Postpaid,0
35.0,male,77101,62.0,9,36,Postpaid,1
74.0,male,32493,9.0,2,11,Postpaid,0
36.0,male,60132,56.0,2,22,Prepaid,0
44.0,male,60729,68.0,5,39,Prepaid,0
59.0,male,25751,71.0,6,7,Postpaid,0
25.0,male,10821,77.0,6,21,Prepaid,0
52.0,male,74627,62.0,0,52,Postpaid,0
49.0,female,65387,70.0,7,27,Prepaid,0
66.0,female,74238,9.0,0,31,Prepaid,0
79.0,female,43960,79.0,3,41,Prepaid,0
59.0,male,56389,37.0,7,19,Prepaid,0
43.0,male,98349,55.0,8,49,Prepaid,0
43.0,female,30292,55.0,6,1,Prepaid,1
43.0,male,68752,97.0,1,28,Postpaid,0
68.0,male,21906,33.0,6,36,Postpaid,0
37.0,male,15912,39.0,0,15,Postpaid,0
28.0,male,96152,76.0,2,47,Postpaid,0
38.0,female,21683,63.0,1,5,Prepaid,1
19.0,female,69023,32.0,9,39,Prepaid,1
24.0,male,56278,35.0,3,38,Postpaid,0
23.0,male,82831,83.0,5,47,Prepaid,0
65.0,female,59194,83.0,7,13,Postpaid,0
62.0,female,72727,15.0,9,10,Prepaid,0
61.0,female,90472,40.0,9,35,Prepaid,0
46.0,male,84652,77.0,1,58,Postpaid,0
62.0,female,74967,12.0,3,47,Postpaid,0
27.0,female,24624,19.0,4,13,Prepaid,0
73.0,female,25247,16.0,7,25,Postpaid,1
49.0,male,54725,53.0,3,16,Postpaid,1
76.0,female,69296,45.0,2,47,Prepaid,0
27.0,male,70041,32.0,7,31,Postpaid,0
48.0,male,80800,14.0,4,26,Prepaid,0
61.0,female,19305,64.0,7,1,Postpaid,1
48.0,female,25609,80.0,3,38,Prepaid,0
45.0,male,23496,22.0,4,27,Prepaid,0
28.0,male,58694,66.0,0,3,Prepaid,0
41.0,male,67058,79.0,0,12,Prepaid,0
32.0,male,20398,56.0,0,43,Prepaid,0
36.0,female,88183,57.0,1,45,Prepaid,0
60.0,male,37310,17.0,3,30,Postpaid,0
57.0,female,69437,95.0,0,45,Postpaid,0
55.0,male,77646,95.0,1,44,Postpaid,0
40.0,female,13258,71.0,8,37,Prepaid,1
77.0,female,87833,90.0,8,13,Prepaid,1
23.0,female,97338,61.0,2,25,Prepaid,0
39.0,female,96277,66.0,9,49,Prepaid,1
25.0,female,22555,83.0,1,19,Prepaid,0
39.0,female,45339,4.0,0,39,Prepaid,0
77.0,female,30930,22.0,3,49,Postpaid,0
40.0,male,50572,21.0,2,32,Postpaid,0
74.0,female,97747,63.0,0,30,Postpaid,0
48.0,female,78681,24.0,8,12,Prepaid,0
61.0,male,79392,39.0,9,30,Postpaid,0
46.0,female,47973,49.0,2,3,Postpaid,1
34.0,male,94291,74.0,3,7,Postpaid,1
65.0,female,92804,52.0,7,32,Postpaid,1
78.0,female,82595,3.0,9,13,Postpaid,1
34.0,female,83302,68.0,2,21,Postpaid,0
66.0,female,68656,43.0,6,22,Postpaid,0
34.0,male,18580,12.0,0,28,Prepaid,0
62.0,male,35609,65.0,5,42,Prepaid,0
66.0,female,79191,27.0,9,27,Prepaid,1
45.0,male,39419,46.0,4,50,Prepaid,1
63.0,female,25515,96.0,6,29,Postpaid,0
34.0,male,95254,24.0,6,59,Postpaid,1
22.0,female,53950,88.0,6,59,Prepaid,0
23.0,female,87456,46.0,6,26,Postpaid,0
45.0,female,35574,93.0,8,46,Prepaid,1
73.0,female,42354,85.0,0,27,Postpaid,1
25.0,male,40896,83.0,8,52,Postpaid,0
46.0,male,43594,21.0,9,46,Prepaid,0
61.0,male,49382,79.0,9,20,Prepaid,0
30.0,female,36792,37.0,3,19,Postpaid,0
62.0,female,83278,91.0,5,52,Prepaid,1
36.0,female,39351,99.0,3,32,Prepaid,0
68.0,male,49736,61.0,8,41,Postpaid,0
53.0,female,87460,91.0,4,40,Postpaid,0
51.0,male,49343,53.0,3,10,Postpaid,0
28.0,male,10945,4.0,6,14,Prepaid,0
46.0,male,10043,87.0,0,54,Prepaid,0
71.0,female,49244,53.0,3,17,Prepaid,0
19.0,male,68366,5.0,2,52,Postpaid,0
65.0,female,94855,7.0,3,22,Prepaid,1
48.0,female,21772,72.0,4,50,Prepaid,0
62.0,female,58837,92.0,0,35,Prepaid,0
59.0,female,36005,70.0,8,6,Prepaid,1
44.0,male,50540,44.0,4,16,Prepaid,0
37.0,male,49837,31.0,3,57,Prepaid,0
56.0,female,38113,42.0,1,13,Postpaid,0
26.0,female,11640,32.0,9,14,Prepaid,0
54.0,female,16652,28.0,8,9,Postpaid,1
23.0,female,57015,13.0,4,36,Postpaid,0
58.0,male,30203,57.0,3,48,Postpaid,0
56.0,male,39432,22.0,4,56,Postpaid,0
23.0,male,18141,15.0,9,53,Postpaid,1
64.0,male,14465,28.0,2,53,Postpaid,0
43.0,female,21402,80.0,6,54,Postpaid,0
66.0,female,43954,57.0,9,34,Prepaid,1
20.0,female,24716,49.0,7,49,Postpaid,0
29.0,female,30828,59.0,8,38,Prepaid,1
48.0,male,37182,57.0,9,9,Prepaid,1
29.0,female,36219,50.0,0,2,Postpaid,0
38.0,male,10991,84.0,2,6,Prepaid,0
58.0,male,20562,73.0,1,21,Prepaid,1
26.0,male,95512,19.0,5,30,Postpaid,0
60.0,female,70119,81.0,4,38,Postpaid,0
24.0,female,21143,18.0,0,31,Prepaid,0
28.0,female,35533,8.0,5,22,Prepaid,0
54.0,female,44483,42.0,1,44,Postpaid,0
67.0,male,91510,39.0,4,51,Prepaid,0
28.0,male,89157,78.0,3,14,Postpaid,0
36.0,female,79338,69.0,8,16,Prepaid,1
75.0,male,19591,6.0,6,55,Prepaid,0
79.0,female,54144,50.0,6,58,Prepaid,0
54.0,male,53524,79.0,8,19,Prepaid,0
45.0,male,67376,,1,31,Prepaid,1
39.0,male,86030,50.0,2,35,Postpaid,0
55.0,male,38887,61.0,7,38,Postpaid,0
54.0,female,60126,56.0,7,51,Postpaid,0
36.0,female,33742,23.0,0,7,Postpaid,1
19.0,female,28930,56.0,2,31,Prepaid,0
27.0,female,38198,67.0,2,13,Prepaid,0
77.0,male,76195,6.0,0,45,Postpaid,0
43.0,male,49404,69.0,6,36,Prepaid,0
47.0,male,71320,25.0,0,45,Prepaid,0
46.0,female,72203,1.0,8,54,Postpaid,1
66.0,male,42596,75.0,5,47,Prepaid,0
22.0,male,95953,39.0,7,51,Postpaid,0
23.0,female,14166,41.0,4,48,Postpaid,0
35.0,female,90721,62.0,9,37,Prepaid,1
48.0,female,10707,56.0,2,24,Prepaid,1
59.0,male,44411,62.0,5,20,Prepaid,0
48.0,female,84285,94.0,0,22,Postpaid,0
45.0,female,71582,65.0,8,36,Prepaid,0
76.0,male,38940,5.0,5,48,Prepaid,1
27.0,female,89703,23.0,1,22,Postpaid,0
53.0,female,22399,45.0,8,35,Postpaid,0
51.0,male,70363,47.0,9,25,Postpaid,1
47.0,male,56669,36.0,0,36,Postpaid,0
68.0,male,28644,19.0,8,49,Prepaid,0
34.0,female,92874,11.0,7,25,Postpaid,0
77.0,male,78895,15.0,3,24,Prepaid,0
38.0,female,10763,95.0,6,12,Postpaid,0
51.0,female,17816,40.0,7,30,Postpaid,0
50.0,male,15052,96.0,4,27,Postpaid,1
70.0,female,47386,34.0,6,10,Prepaid,0
45.0,female,47534,31.0,0,58,Postpaid,0
35.0,female,75158,49.0,9,51,Prepaid,0
19.0,male,70836,94.0,9,18,Postpaid,0
40.0,male,11356,56.0,2,56,Prepaid,0
69.0,female,52849,4.0,4,17,Prepaid,0
18.0,male,80630,27.0,2,25,Prepaid,0
73.0,male,90779,98.0,3,8,Prepaid,0
51.0,female,36294,16.0,2,37,Prepaid,1
26.0,male,13967,83.0,8,29,Prepaid,0
36.0,female,23759,92.0,6,16,Prepaid,1
52.0,male,40612,22.0,8,18,Postpaid,1
37.0,male,49886,56.0,7,56,Postpaid,0
24.0,male,41621,60.0,7,41,Prepaid,0
59.0,male,18148,79.0,1,10,Prepaid,0
59.0,male,40611,80.0,8,8,Postpaid,1
25.0,male,36090,6.0,7,5,Prepaid,1
35.0,male,53891,32.0,1,15,Prepaid,0
33.0,female,17124,94.0,0,44,Prepaid,0
58.0,female,81151,36.0,7,4,Prepaid,1
63.0,male,47531,25.0,3,15,Prepaid,0
63.0,male,38609,63.0,3,3,Postpaid,0
76.0,male,91586,20.0,3,39,Postpaid,0
65.0,male,77003,15.0,8,49,Postpaid,1
37.0,female,22315,79.0,3,32,Postpaid,0
24.0,female,23181,12.0,3,54,Prepaid,0
56.0,male,10192,89.0,3,41,Postpaid,0
74.0,female,60465,25.0,0,46,Postpaid,0
78.0,female,41925,11.0,0,19,Prepaid,0
32.0,male,43757,74.0,4,52,Prepaid,0
32.0,female,55845,18.0,0,38,Prepaid,0
20.0,male,58528,37.0,7,6,Prepaid,1
26.0,female,10087,35.0,4,5,Postpaid,1
52.0,female,19697,51.0,5,53,Prepaid,0
51.0,male,81024,47.0,3,17,Postpaid,0
40.0,female,95811,20.0,7,28,Prepaid,0
37.0,female,85344,24.0,4,45,Prepaid,1
69.0,male,91559,20.0,0,46,Prepaid,0
46.0,male,51716,6.0,4,2,Postpaid,0
68.0,female,84375,65.0,1,37,Prepaid,0
77.0,male,89400,47.0,5,54,Postpaid,0
37.0,male,90350,11.0,5,21,Postpaid,1
30.0,female,23443,33.0,4,33,Postpaid,0
77.0,male,23201,67.0,3,16,Postpaid,1
57.0,female,46234,29.0,5,43,Postpaid,0
36.0,female,55334,40.0,6,7,Prepaid,1
56.0,female,96232,74.0,8,31,Prepaid,0
49.0,female,38611,67.0,9,25,Postpaid,0
74.0,female,84838,70.0,0,38,Postpaid,0
33.0,female,89864,38.0,6,30,Postpaid,0
79.0,female,96871,48.0,0,58,Prepaid,0
76.0,male,27049,84.0,4,59,Prepaid,0
29.0,female,31768,87.0,7,17,Postpaid,1
28.0,male,29795,6.0,5,3,Prepaid,1
51.0,female,76167,83.0,8,30,Prepaid,0
20.0,male,71804,89.0,9,35,Prepaid,1
36.0,male,46637,94.0,9,45,Prepaid,1
44.0,male,18000,27.0,6,31,Postpaid,0
78.0,female,56873,50.0,6,35,Prepaid,0
79.0,male,75913,5.0,8,2,Prepaid,1
27.0,male,52688,11.0,2,45,Postpaid,0
73.0,female,34131,56.0,3,20,Prepaid,0
23.0,female,63299,21.0,3,23,Postpaid,0
64.0,female,69484,23.0,7,25,Prepaid,1
70.0,male,63214,30.0,3,5,Postpaid,0
73.0,female,88573,46.0,1,30,Prepaid,0
31.0,female,38254,16.0,7,23,Prepaid,1
73.0,male,64865,80.0,7,14,Prepaid,0
25.0,female,86952,67.0,5,15,Prepaid,0
50.0,male,29141,79.0,8,3,Postpaid,1
47.0,male,35342,92.0,7,53,Postpaid,0
37.0,female,14424,60.0,9,18,Postpaid,0
19.0,male,43748,36.0,2,52,Postpaid,0
65.0,male,14015,97.0,1,50,Prepaid,0
38.0,male,77173,57.0,3,27,Postpaid,0
59.0,female,17993,46.0,8,48,Prepaid,0
43.0,male,72317,42.0,9,13,Postpaid,0
41.0,male,62183,4.0,1,11,Prepaid,0
72.0,female,98910,95.0,8,54,Postpaid,1
23.0,female,41339,82.0,4,39,Prepaid,0
63.0,male,41031,70.0,8,41,Postpaid,0
64.0,female,31879,22.0,6,55,Postpaid,0
41.0,male,58354,92.0,0,1,Prepaid,1
34.0,female,29737,18.0,4,11,Postpaid,1
18.0,female,20205,24.0,0,57,Prepaid,0
76.0,female,95372,7.0,3,8,Postpaid,0
76.0,male,71124,29.0,7,27,Postpaid,0
32.0,female,20693,33.0,6,2,Prepaid,0
19.0,female,65625,79.0,7,20,Postpaid,0
25.0,male,37433,33.0,6,11,Postpaid,1
22.0,male,26205,95.0,0,16,Prepaid,0
69.0,female,52432,30.0,5,49,Postpaid,0
73.0,male,80886,52.0,4,17,Prepaid,1
27.0,female,10040,59.0,5,49,Prepaid,0
64.0,male,41967,83.0,2,53,Postpaid,0
29.0,female,92885,75.0,7,32,Postpaid,1
40.0,female,45490,86.0,6,32,Prepaid,0
55.0,male,18918,93.0,4,20,Postpaid,0
62.0,male,48572,12.0,0,40,Prepaid,0
72.0,male,71422,10.0,0,48,Postpaid,0
20.0,female,99669,45.0,3,51,Postpaid,0
30.0,female,66597,15.0,5,12,Prepaid,0
35.0,male,14547,49.0,9,41,Prepaid,1
37.0,female,82815,59.0,7,9,Prepaid,1
79.0,female,80209,28.0,4,29,Postpaid,0
66.0,male,68624,10.0,2,6,Postpaid,0
37.0,female,90688,96.0,1,33,Postpaid,0
78.0,male,79244,37.0,1,51,Prepaid,0
48.0,female,30900,84.0,0,49,Postpaid,0
49.0,male,47912,62.0,9,43,Postpaid,1
44.0,male,55668,66.0,0,35,Postpaid,0
26.0,male,53983,78.0,8,37,Prepaid,0
75.0,male,67491,27.0,5,6,Prepaid,0
18.0,male,73149,22.0,6,43,Prepaid,0
28.0,female,19356,99.0,9,41,Prepaid,0
32.0,male,61158,67.0,7,9,Postpaid,1
35.0,female,13493,29.0,1,38,Postpaid,0
26.0,male,56038,64.0,9,23,Postpaid,0
19.0,male,47996,39.0,1,31,Postpaid,1
60.0,female,28500,86.0,5,49,Prepaid,0
78.0,male,99173,51.0,6,20,Postpaid,1
25.0,male,33229,32.0,2,55,Postpaid,0
36.0,female,15069,69.0,6,25,Prepaid,0
49.0,male,42264,75.0,6,31,Postpaid,0
75.0,female,78166,37.0,9,2,Postpaid,0
61.0,male,10835,75.0,9,8,Postpaid,1
65.0,female,54357,24.0,3,17,Prepaid,0
54.0,male,47562,24.0,6,58,Prepaid,1
43.0,male,87919,82.0,8,16,Postpaid,1
30.0,female,10249,62.0,0,24,Postpaid,0
71.0,female,11559,4.0,6,51,Prepaid,0
67.0,female,60851,67.0,9,19,Postpaid,1
19.0,male,26144,31.0,1,48,Postpaid,0
62.0,male,73362,28.0,7,8,Postpaid,0
23.0,female,35030,42.0,0,8,Postpaid,0
63.0,male,60593,45.0,4,1,Postpaid,0
69.0,male,13396,89.0,8,8,Prepaid,1
26.0,male,72416,44.0,9,36,Prepaid,1
44.0,female,56642,30.0,7,6,Prepaid,0
25.0,male,10001,77.0,7,37,Prepaid,0
53.0,male,33923,54.0,2,36,Postpaid,0
75.0,male,15349,1.0,8,14,Prepaid,1
23.0,male,14035,63.0,6,3,Prepaid,0
42.0,male,72861,50.0,9,10,Prepaid,1
78.0,male,48510,57.0,6,9,Prepaid,0
36.0,male,82261,19.0,0,32,Postpaid,0
26.0,male,33199,48.0,5,55,Prepaid,0
48.0,female,74593,65.0,7,26,Postpaid,0
49.0,female,65361,68.0,7,38,Prepaid,0
59.0,male,69671,68.0,3,18,Postpaid,1
37.0,male,84521,99.0,1,6,Postpaid,0
77.0,male,73664,50.0,8,13,Postpaid,0
50.0,male,77103,43.0,8,29,Prepaid,1
35.0,male,76563,54.0,8,51,Postpaid,0
77.0,female,50230,33.0,6,15,Postpaid,0
75.0,male,75193,32.0,8,59,Postpaid,0
48.0,female,85794,69.0,4,38,Prepaid,0
19.0,male,76420,32.0,7,21,Prepaid,0
55.0,male,64692,75.0,4,37,Prepaid,0
52.0,male,16661,74.0,7,42,Postpaid,0
27.0,male,49293,95.0,1,41,Prepaid,0
57.0,male,15694,14.0,2,52,Prepaid,0
70.0,male,19343,36.0,2,40,Postpaid,0
24.0,male,42500,77.0,4,2,Prepaid,0
62.0,female,51771,43.0,8,23,Postpaid,0
26.0,female,57483,65.0,1,54,Postpaid,0
64.0,male,91025,73.0,7,13,Postpaid,1
43.0,female,78635,88.0,8,30,Postpaid,0
18.0,male,48060,23.0,6,30,Prepaid,1
77.0,male,40123,26.0,6,33,Prepaid,1
28.0,male,74132,47.0,1,52,Postpaid,0
54.0,male,34760,51.0,6,32,Postpaid,0
29.0,female,89525,90.0,2,1,Postpaid,1
75.0,female,80330,4.0,2,15,Postpaid,0
63.0,female,71426,25.0,8,38,Prepaid,0
67.0,female,32440,91.0,6,47,Prepaid,0
44.0,female,65955,61.0,9,39,Postpaid,1
46.0,male,83875,67.0,4,44,Postpaid,0
57.0,male,16476,25.0,3,15,Prepaid,0
66.0,male,25942,62.0,9,6,Postpaid,1
70.0,female,56367,37.0,6,56,Postpaid,1
19.0,male,42352,73.0,8,34,Postpaid,1
59.0,female,73865,9.0,0,44,Postpaid,0
24.0,female,46096,29.0,5,57,Prepaid,1
35.0,male,99699,64.0,8,11,Postpaid,0
69.0,male,36955,60.0,8,52,Prepaid,0
33.0,female,42418,84.0,7,22,Postpaid,1
67.0,male,10302,80.0,1,37,Prepaid,0
46.0,male,32274,2.0,5,23,Prepaid,0
32.0,male,31195,9.0,1,12,Prepaid,0
38.0,female,78649,36.0,8,52,Prepaid,0
50.0,male,40388,95.0,6,21,Postpaid,0
65.0,female,28311,48.0,1,2,Postpaid,0
55.0,male,38226,89.0,7,9,Postpaid,0
75.0,female,60638,6.0,7,57,Postpaid,0
71.0,female,80699,96.0,0,49,Prepaid,0
64.0,male,98096,7.0,0,40,Postpaid,0
55.0,female,14263,81.0,2,46,Prepaid,0
35.0,male,85688,87.0,0,39,Postpaid,0
43.0,male,45005,30.0,5,54,Postpaid,0
25.0,female,82741,30.0,8,6,Postpaid,1
41.0,male,13376,58.0,0,4,Prepaid,0
75.0,female,66348,72.0,6,41,Postpaid,0
44.0,female,93758,12.0,4,57,Postpaid,0
25.0,male,13521,24.0,8,35,Postpaid,0
58.0,male,81118,75.0,4,58,Postpaid,0
77.0,female,20289,80.0,6,24,,1
71.0,male,98394,16.0,9,40,Prepaid,0
34.0,male,76993,89.0,1,31,Prepaid,0
46.0,male,91914,86.0,3,53,Prepaid,0
50.0,male,90791,86.0,2,39,Prepaid,0
33.0,female,38423,24.0,1,26,Postpaid,0
34.0,male,47433,67.0,6,15,Postpaid,0
32.0,female,72242,16.0,0,19,Prepaid,0
79.0,female,25739,20.0,3,5,Prepaid,0
64.0,female,37589,8.0,1,10,Postpaid,1
70.0,female,18914,49.0,6,31,Postpaid,1
68.0,female,89939,71.0,7,2,Postpaid,0
77.0,male,32308,20.0,4,28,Postpaid,0
24.0,male,46967,19.0,4,3,Prepaid,0
72.0,female,50725,28.0,4,10,Postpaid,0
22.0,male,43829,20.0,1,41,Postpaid,1
47.0,female,80016,83.0,3,2,Prepaid,0
54.0,male,92266,17.0,9,20,Postpaid,1
40.0,female,61561,28.0,0,12,Postpaid,0
27.0,female,85306,31.0,7,4,Prepaid,0
29.0,male,19974,21.0,1,13,Postpaid,0
69.0,female,96977,94.0,1,7,Prepaid,0
37.0,male,20430,21.0,2,5,Postpaid,0
37.0,male,15983,49.0,2,40,Postpaid,0
75.0,female,12001,57.0,3,8,Postpaid,0
26.0,female,31900,26.0,8,56,Prepaid,1
74.0,female,85345,47.0,9,29,Postpaid,0
75.0,male,37077,17.0,6,25,Postpaid,0
55.0,male,81181,48.0,1,52,Postpaid,0
28.0,male,48191,2.0,9,46,Prepaid,1
27.0,female,19354,44.0,8,25,Prepaid,0
35.0,male,52581,37.0,0,58,Prepaid,0
53.0,female,30911,35.0,3,32,Prepaid,0
27.0,female,36232,11.0,7,42,Postpaid,1
46.0,male,56553,99.0,0,58,Prepaid,0
25.0,female,81140,3.0,0,43,Postpaid,0
51.0,male,62813,15.0,6,35,Postpaid,0
19.0,male,30091,11.0,3,37,Postpaid,0
61.0,male,74572,97.0,4,39,Postpaid,0
21.0,female,72686,32.0,7,58,Prepaid,0
30.0,female,31335,43.0,5,42,Prepaid,0
28.0,female,86659,75.0,7,18,Postpaid,0
69.0,female,85888,5.0,1,2,Prepaid,0
21.0,female,64332,7.0,0,47,Prepaid,0
44.0,female,36653,19.0,2,29,Postpaid,0
54.0,female,41874,68.0,2,25,Postpaid,0
49.0,male,49548,97.0,3,56,Prepaid,0
60.0,male,26910,62.0,7,10,Prepaid,1
67.0,female,37533,87.0,1,3,Postpaid,0
42.0,female,22091,88.0,1,44,Postpaid,0
69.0,female,23909,28.0,2,55,Postpaid,0
37.0,female,76975,19.0,3,49,Postpaid,0
79.0,female,21551,16.0,1,52,Postpaid,0
49.0,female,52221,79.0,1,51,Prepaid,0
63.0,female,48631,67.0,5,41,Prepaid,0
